Timestamp,DL_bitrate,UL_bitrate,Throughput,OT,date
2020.01.16_10.43.34,6463488,9982443.52,16445931.52,16445931.52,2020.01.16_10.43.34
2020.01.16_10.43.35,8306688,15854469.12,24161157.12,24161157.12,2020.01.16_10.43.35
2020.01.16_10.43.36,13254000.64,8891924.48,22145925.12,22145925.12,2020.01.16_10.43.36
2020.01.16_10.43.37,15938355.2,18622709.76,34561064.96,34561064.96,2020.01.16_10.43.37
2020.01.16_10.43.38,2891776,23739760.64,26631536.64,26631536.64,2020.01.16_10.43.38
2020.01.16_10.43.39,14680064,9479127.04,24159191.04,24159191.04,2020.01.16_10.43.39
2020.01.16_10.43.40,13673431.04,15938355.2,29611786.24,29611786.24,2020.01.16_10.43.40
2020.01.16_10.43.40,23488102.4,30953963.52,54442065.92,54442065.92,2020.01.16_10.43.40
2020.01.16_10.43.42,25501368.32,16022241.28,41523609.6,41523609.6,2020.01.16_10.43.42
2020.01.16_10.43.43,33135001.6,7192576,40327577.6,40327577.6,2020.01.16_10.43.43
2020.01.16_10.43.44,5660672,5685248,11345920,11345920,2020.01.16_10.43.44
2020.01.16_10.43.45,16777216,17112760.32,33889976.32,33889976.32,2020.01.16_10.43.45
2020.01.16_10.43.46,19126026.24,16441671.68,35567697.92,35567697.92,2020.01.16_10.43.46
2020.01.16_10.43.47,20803747.84,21223178.24,42026926.08,42026926.08,2020.01.16_10.43.47
2020.01.16_10.43.49,28521267.2,14344519.68,42865786.88,42865786.88,2020.01.16_10.43.49
2020.01.16_10.43.50,18203279.36,14344519.68,32547799.04,32547799.04,2020.01.16_10.43.50
2020.01.16_10.43.51,19964887.04,19209912.32,39174799.36,39174799.36,2020.01.16_10.43.51
2020.01.16_10.43.52,6225920,24578621.44,30804541.44,30804541.44,2020.01.16_10.43.52
2020.01.16_10.43.53,20803747.84,26927431.68,47731179.52,47731179.52,2020.01.16_10.43.53
2020.01.16_10.43.53,22900899.84,30786191.36,53687091.2,53687091.2,2020.01.16_10.43.53
2020.01.16_10.43.54,16777216,16190013.44,32967229.44,32967229.44,2020.01.16_10.43.54
2020.01.16_10.43.55,10485760,23907532.8,34393292.8,34393292.8,2020.01.16_10.43.55
2020.01.16_10.43.57,14260633.6,28772925.44,43033559.04,43033559.04,2020.01.16_10.43.57
2020.01.16_10.43.58,0,28689039.36,28689039.36,28689039.36,2020.01.16_10.43.58
2020.01.16_10.43.59,0,32631685.12,32631685.12,32631685.12,2020.01.16_10.43.59
2020.01.16_10.44.00,12750684.16,7733248,20483932.16,20483932.16,2020.01.16_10.44.00
2020.01.16_10.44.01,19964887.04,15351152.64,35316039.68,35316039.68,2020.01.16_10.44.01
2020.01.16_10.44.03,28772925.44,8388608,37161533.44,37161533.44,2020.01.16_10.44.03
2020.01.16_10.44.04,22062039.04,7086080,29148119.04,29148119.04,2020.01.16_10.44.04
2020.01.16_10.44.05,27430748.16,23320330.24,50751078.4,50751078.4,2020.01.16_10.44.05
2020.01.16_10.44.06,9982443.52,18119393.28,28101836.8,28101836.8,2020.01.16_10.44.06
2020.01.16_10.44.07,24914165.76,20048773.12,44962938.88,44962938.88,2020.01.16_10.44.07
2020.01.16_10.44.07,7700480,25249710.08,32950190.08,32950190.08,2020.01.16_10.44.07
2020.01.16_10.44.08,19713228.8,36406558.72,56119787.52,56119787.52,2020.01.16_10.44.08
2020.01.16_10.44.10,31121735.68,37497077.76,68618813.44,68618813.44,2020.01.16_10.44.10
2020.01.16_10.44.11,22229811.2,10821304.32,33051115.52,33051115.52,2020.01.16_10.44.11
2020.01.16_10.44.12,37580963.84,15518924.8,53099888.64,53099888.64,2020.01.16_10.44.12
2020.01.16_10.44.13,22145925.12,20803747.84,42949672.96,42949672.96,2020.01.16_10.44.13
2020.01.16_10.44.14,20803747.84,18706595.84,39510343.68,39510343.68,2020.01.16_10.44.14
2020.01.16_10.44.16,21558722.56,5414912,26973634.56,26973634.56,2020.01.16_10.44.16
2020.01.16_10.44.17,13254000.64,2523136,15777136.64,15777136.64,2020.01.16_10.44.17
2020.01.16_10.44.18,10653532.16,966656,11620188.16,11620188.16,2020.01.16_10.44.18
2020.01.16_10.44.20,4562944,5111808,9674752,9674752,2020.01.16_10.44.20
2020.01.16_10.44.21,3883008,3506176,7389184,7389184,2020.01.16_10.44.21
2020.01.16_10.44.21,8808038.4,0,8808038.4,8808038.4,2020.01.16_10.44.21
2020.01.16_10.44.23,8472494.08,4169728,12642222.08,12642222.08,2020.01.16_10.44.23
2020.01.16_10.44.24,5922816,3104768,9027584,9027584,2020.01.16_10.44.24
2020.01.16_10.44.25,0,5144576,5144576,5144576,2020.01.16_10.44.25
2020.01.16_10.44.26,0,0,0,0,2020.01.16_10.44.26
2020.01.16_10.44.27,0,0,0,0,2020.01.16_10.44.27
2020.01.16_10.44.29,8372224,13505658.88,21877882.88,21877882.88,2020.01.16_10.44.29
2020.01.16_10.44.30,5111808,16357785.6,21469593.6,21469593.6,2020.01.16_10.44.30
2020.01.16_10.44.31,2867200,16944988.16,19812188.16,19812188.16,2020.01.16_10.44.31
2020.01.16_10.44.32,7667712,23152558.08,30820270.08,30820270.08,2020.01.16_10.44.32
2020.01.16_10.44.33,2375680,23991418.88,26367098.88,26367098.88,2020.01.16_10.44.33
2020.01.16_10.44.35,14512291.84,16777216,31289507.84,31289507.84,2020.01.16_10.44.35
2020.01.16_10.44.35,37413191.68,15099494.4,52512686.08,52512686.08,2020.01.16_10.44.35
2020.01.16_10.44.36,30786191.36,21978152.96,52764344.32,52764344.32,2020.01.16_10.44.36
2020.01.16_10.44.37,24326963.2,5840896,30167859.2,30167859.2,2020.01.16_10.44.37
2020.01.16_10.44.38,5636096,11156848.64,16792944.64,16792944.64,2020.01.16_10.44.38
2020.01.16_10.44.39,13421772.8,5578752,19000524.8,19000524.8,2020.01.16_10.44.39
2020.01.16_10.44.40,7225344,18035507.2,25260851.2,25260851.2,2020.01.16_10.44.40
2020.01.16_10.44.42,7929856,9730785.28,17660641.28,17660641.28,2020.01.16_10.44.42
2020.01.16_10.44.43,4841472,10234101.76,15075573.76,15075573.76,2020.01.16_10.44.43
2020.01.16_10.44.44,3301376,13421772.8,16723148.8,16723148.8,2020.01.16_10.44.44
2020.01.16_10.44.45,7561216,18454937.6,26016153.6,26016153.6,2020.01.16_10.44.45
2020.01.16_10.44.46,2867200,23152558.08,26019758.08,26019758.08,2020.01.16_10.44.46
2020.01.16_10.44.47,16609443.84,14931722.24,31541166.08,31541166.08,2020.01.16_10.44.47
2020.01.16_10.44.49,32967229.44,10066329.6,43033559.04,43033559.04,2020.01.16_10.44.49
2020.01.16_10.44.49,52932116.48,19209912.32,72142028.8,72142028.8,2020.01.16_10.44.49
2020.01.16_10.44.50,31625052.16,9227468.8,40852520.96,40852520.96,2020.01.16_10.44.50
2020.01.16_10.44.51,34812723.2,23655874.56,58468597.76,58468597.76,2020.01.16_10.44.51
2020.01.16_10.44.52,36658216.96,26508001.28,63166218.24,63166218.24,2020.01.16_10.44.52
2020.01.16_10.44.53,31960596.48,15854469.12,47815065.6,47815065.6,2020.01.16_10.44.53
2020.01.16_10.44.55,28772925.44,21139292.16,49912217.6,49912217.6,2020.01.16_10.44.55
2020.01.16_10.44.56,13841203.2,28353495.04,42194698.24,42194698.24,2020.01.16_10.44.56
2020.01.16_10.44.57,5799936,22984785.92,28784721.92,28784721.92,2020.01.16_10.44.57
2020.01.16_10.44.58,19293798.4,14847836.16,34141634.56,34141634.56,2020.01.16_10.44.58
2020.01.16_10.44.59,2924544,13254000.64,16178544.64,16178544.64,2020.01.16_10.44.59
2020.01.16_10.45.00,23571988.48,17616076.8,41188065.28,41188065.28,2020.01.16_10.45.00
2020.01.16_10.45.02,10821304.32,20300431.36,31121735.68,31121735.68,2020.01.16_10.45.02
2020.01.16_10.45.03,19042140.16,28689039.36,47731179.52,47731179.52,2020.01.16_10.45.03
2020.01.16_10.45.03,21558722.56,25081937.92,46640660.48,46640660.48,2020.01.16_10.45.03
2020.01.16_10.45.04,11492392.96,9563013.12,21055406.08,21055406.08,2020.01.16_10.45.04
2020.01.16_10.45.05,7217152,9982443.52,17199595.52,17199595.52,2020.01.16_10.45.05
2020.01.16_10.45.06,11240734.72,8282112,19522846.72,19522846.72,2020.01.16_10.45.06
2020.01.16_10.45.07,16190013.44,4743168,20933181.44,20933181.44,2020.01.16_10.45.07
2020.01.16_10.45.09,28101836.8,3055616,31157452.8,31157452.8,2020.01.16_10.45.09
2020.01.16_10.45.10,19797114.88,2170880,21967994.88,21967994.88,2020.01.16_10.45.10
2020.01.16_10.45.11,8808038.4,15015608.32,23823646.72,23823646.72,2020.01.16_10.45.11
2020.01.16_10.45.12,9059696.64,13002342.4,22062039.04,22062039.04,2020.01.16_10.45.12
2020.01.16_10.45.13,17699962.88,4423680,22123642.88,22123642.88,2020.01.16_10.45.13
2020.01.16_10.45.14,14763950.08,9395240.96,24159191.04,24159191.04,2020.01.16_10.45.14
2020.01.16_10.45.15,7397376,7536640,14934016,14934016,2020.01.16_10.45.15
2020.01.16_10.45.17,4317184,10737418.24,15054602.24,15054602.24,2020.01.16_10.45.17
2020.01.16_10.45.17,7897088,9814671.36,17711759.36,17711759.36,2020.01.16_10.45.17
2020.01.16_10.45.18,30870077.44,7880704,38750781.44,38750781.44,2020.01.16_10.45.18
2020.01.16_10.45.19,15183380.48,14847836.16,30031216.64,30031216.64,2020.01.16_10.45.19
2020.01.16_10.45.20,5341184,10150215.68,15491399.68,15491399.68,2020.01.16_10.45.20
