Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,CELLHEX,NODEHEX,LACHEX,RAWCELLID,NRxRSRP,NRxRSRQ,OT,Throughput
2019.12.17_07.32.39,-8.388195,51.935601,0,B,12,5G,-103,-11,0,11,-87,199,51,D,-,-,-,-,-,C,A81B,9CBA,11016972,-104,-204,250,250
2019.12.17_07.32.39,-8.388195,51.935601,0,B,12,5G,-103,-10,7,11,-87,1,0,D,-,-,-,-,-,C,A81B,9CBA,11016972,-104,-204,1,1
2019.12.17_07.32.40,-8.388401,51.93557,4,B,12,5G,-103,-10,7,11,-87,1,0,D,-,-,-,-,-,C,A81B,9CBA,11016972,-104,-204,1,1
2019.12.17_07.32.40,-8.388401,51.93557,4,B,12,5G,-103,-10,7,11,-87,0,0,I,-,-,-,-,-,C,A81B,9CBA,11016972,-104,-204,0,0
2019.12.17_07.32.41,-8.388401,51.93557,4,B,12,5G,-103,-11,8,11,-87,1,0,D,-,-,-,-,-,C,A81B,9CBA,11016972,-104,-7,1,1
2019.12.17_07.32.42,-8.388401,51.93557,4,B,12,5G,-103,-11,8,11,-87,35,11,D,-,-,-,-,-,C,A81B,9CBA,11016972,-104,-7,46,46
2019.12.17_07.32.43,-8.388401,51.93557,4,B,12,5G,-103,-13,10,11,-87,0,0,I,-,-,-,-,-,C,A81B,9CBA,11016972,-104,-7,0,0
2019.12.17_07.32.44,-8.388401,51.93557,4,B,12,5G,-103,-13,10,11,-87,0,0,D,95,81,135,23,0,C,A81B,9CBA,11016972,-104,-7,0,0
2019.12.17_07.32.44,-8.388401,51.93557,4,B,12,5G,-103,-13,10,11,-87,3,3,D,-,-,-,-,-,C,A81B,9CBA,11016972,-104,-7,6,6
2019.12.17_07.32.46,-8.388401,51.93557,4,B,12,5G,-102,-12,13,11,-87,16549,214,D,-,-,-,-,-,C,A81B,9CBA,11016972,-103,-15,16763,16763
2019.12.17_07.32.47,-8.388401,51.93557,4,B,12,5G,-102,-12,13,11,-87,19279,69,D,-,-,-,-,-,C,A81B,9CBA,11016972,-103,-15,19348,19348
2019.12.17_07.32.48,-8.388401,51.93557,4,B,12,5G,-102,-10,9,11,-87,17878,72,D,-,-,-,-,-,C,A81B,9CBA,11016972,-102,-13,17950,17950
2019.12.17_07.32.49,-8.388401,51.93557,4,B,12,5G,-102,-10,9,11,-87,18342,75,D,-,-,-,-,-,C,A81B,9CBA,11016972,-102,-13,18417,18417
2019.12.17_07.32.50,-8.388401,51.93557,4,B,12,5G,-101,-13,1,11,-87,10497,94,D,-,-,-,-,-,C,A81B,9CBA,11016972,-102,-15,10591,10591
2019.12.17_07.32.51,-8.388401,51.93557,4,B,12,5G,-101,-13,1,11,-87,9725,61,D,-,-,-,-,-,C,A81B,9CBA,11016972,-102,-15,9786,9786
2019.12.17_07.32.52,-8.388401,51.93557,4,B,12,5G,-100,-10,5,12,-,14416,78,D,-,-,-,-,-,C,A81B,9CBA,11016972,-99,-14,14494,14494
2019.12.17_07.32.53,-8.388401,51.93557,4,B,12,5G,-100,-10,5,12,-90,17250,74,D,-,-,-,-,-,C,A81B,9CBA,11016972,-99,-14,17324,17324
2019.12.17_07.32.55,-8.388401,51.93557,4,B,12,5G,-99,-10,16,12,-90,17115,69,D,-,-,-,-,-,C,A81B,9CBA,11016972,-104,-15,17184,17184
2019.12.17_07.32.57,-8.388401,51.93557,4,B,12,5G,-100,-10,6,12,-89,10668,44,D,-,-,-,-,-,C,A81B,9CBA,11016972,-106,-14,10712,10712
2019.12.17_07.32.58,-8.388401,51.93557,4,B,12,5G,-100,-10,6,12,-89,2,2,D,-,-,-,-,-,C,A81B,9CBA,11016972,-106,-14,4,4
2019.12.17_07.32.58,-8.388401,51.93557,4,B,12,5G,-100,-10,6,12,-89,2,2,D,82,79,85,2,0,C,A81B,9CBA,11016972,-106,-14,4,4
2019.12.17_07.32.59,-8.388401,51.93557,4,B,12,5G,-100,-9,8,12,-89,10364,171,D,-,-,-,-,-,C,A81B,9CBA,11016972,-107,-9,10535,10535
2019.12.17_07.33.00,-8.388401,51.93557,4,B,12,5G,-100,-9,8,12,-89,16479,93,D,-,-,-,-,-,C,A81B,9CBA,11016972,-107,-9,16572,16572
2019.12.17_07.33.01,-8.388401,51.93557,4,B,12,5G,-100,-10,7,12,-93,15156,96,D,-,-,-,-,-,C,A81B,9CBA,11016972,-107,-15,15252,15252
2019.12.17_07.33.03,-8.388401,51.93557,4,B,12,5G,-100,-10,7,12,-93,10556,74,D,-,-,-,-,-,C,A81B,9CBA,11016972,-107,-15,10630,10630
2019.12.17_07.33.04,-8.388401,51.93557,4,B,12,5G,-100,-11,15,12,-93,10109,72,D,-,-,-,-,-,C,A81B,9CBA,11016972,-107,-16,10181,10181
2019.12.17_07.33.05,-8.388401,51.93557,4,B,12,5G,-100,-11,15,10,-89,9674,73,D,-,-,-,-,-,C,A81B,9CBA,11016972,-107,-16,9747,9747
2019.12.17_07.33.06,-8.388401,51.93557,4,B,12,5G,-98,-11,11,10,-89,9269,83,D,-,-,-,-,-,C,A81B,9CBA,11016972,-105,-15,9352,9352
2019.12.17_07.33.07,-8.388401,51.93557,4,B,12,5G,-98,-11,11,13,-87,7114,82,D,-,-,-,-,-,C,A81B,9CBA,11016972,-105,-15,7196,7196
2019.12.17_07.33.08,-8.388401,51.93557,4,B,12,5G,-99,-8,-7,4,-90,8764,90,D,-,-,-,-,-,C,A81B,9CBA,11016972,-106,-7,8854,8854
2019.12.17_07.33.09,-8.388401,51.93557,4,B,12,5G,-99,-8,-7,4,-90,12080,81,D,-,-,-,-,-,C,A81B,9CBA,11016972,-106,-7,12161,12161
2019.12.17_07.33.11,-8.388401,51.93557,4,B,12,5G,-98,-11,17,12,-85,12360,85,D,-,-,-,-,-,C,A81B,9CBA,11016972,-102,-6,12445,12445
2019.12.17_07.33.12,-8.388401,51.93557,4,B,12,5G,-98,-11,17,12,-85,1,1,D,-,-,-,-,-,C,A81B,9CBA,11016972,-102,-6,2,2
2019.12.17_07.33.12,-8.388401,51.93557,4,B,12,5G,-98,-11,17,12,-85,1,1,D,81,79,83,1,0,C,A81B,9CBA,11016972,-102,-6,2,2
2019.12.17_07.33.13,-8.388401,51.93557,4,B,12,5G,-96,-10,15,12,-85,5778,115,D,-,-,-,-,-,C,A81B,9CBA,11016972,-101,-5,5893,5893
2019.12.17_07.33.14,-8.388401,51.93557,4,B,12,5G,-96,-10,15,11,-79,12425,163,D,-,-,-,-,-,C,A81B,9CBA,11016972,-101,-5,12588,12588
2019.12.17_07.33.15,-8.388401,51.93557,4,B,12,5G,-94,-6,20,8,-81,13345,91,D,-,-,-,-,-,C,A81B,9CBA,11016972,-98,-6,13436,13436
2019.12.17_07.33.16,-8.388401,51.93557,4,B,12,5G,-94,-6,20,14,-,10852,87,D,-,-,-,-,-,C,A81B,9CBA,11016972,-98,-6,10939,10939
2019.12.17_07.33.17,-8.388401,51.93557,4,B,12,5G,-94,-8,14,15,-83,12182,99,D,-,-,-,-,-,C,A81B,9CBA,11016972,-99,-7,12281,12281
2019.12.17_07.33.19,-8.388401,51.93557,4,B,12,5G,-94,-8,14,15,-79,16841,67,D,-,-,-,-,-,C,A81B,9CBA,11016972,-99,-7,16908,16908
