Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,CELLHEX,NODEHEX,LACHEX,RAWCELLID,NRxRSRP,NRxRSRQ,OT,Throughput
2020.02.13_13.57.29,-8.394565,51.886188,0,B,11,5G,-101,-15,4,11,-103,169,129,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103,-11,298,298
2020.02.13_13.57.29,-8.394565,51.886188,0,B,11,5G,-101,-12,1,9,-103,169,129,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-11,298,298
2020.02.13_13.57.30,-8.394564,51.886198,0,B,11,5G,-101,-12,1,9,-103,169,129,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-11,298,298
2020.02.13_13.57.30,-8.394564,51.886198,0,B,11,5G,-101,-12,1,9,-103,128,125,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-11,253,253
2020.02.13_13.57.31,-8.394564,51.886198,0,B,11,5G,-102,-11,1,9,-103,166,232,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-11,398,398
2020.02.13_13.57.32,-8.394564,51.886198,0,B,11,5G,-102,-11,1,9,-103,11,0,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-11,11,11
2020.02.13_13.57.33,-8.394564,51.886198,0,B,11,5G,-102,-11,1,9,-103,11,0,D,72,71,74,1,0,B,A4DF,9CBA,10805003,-104,-11,11,11
2020.02.13_13.57.34,-8.394564,51.886198,0,B,11,5G,-100,-12,-4,11,-103,3,3,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-9,6,6
2020.02.13_13.57.35,-8.394564,51.886198,0,B,11,5G,-100,-12,-4,11,-103,4599,111,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-9,4710,4710
2020.02.13_13.57.36,-8.394564,51.886198,0,B,11,5G,-100,-13,-5,10,-107,16656,123,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-10,16779,16779
2020.02.13_13.57.37,-8.394564,51.886198,0,B,11,5G,-100,-13,-5,10,-107,19979,62,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-10,20041,20041
2020.02.13_13.57.38,-8.394564,51.886198,0,B,11,5G,-99,-14,1,8,-107,19750,66,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-12,19816,19816
2020.02.13_13.57.40,-8.394564,51.886198,0,B,11,5G,-99,-14,1,8,-107,19864,66,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-12,19930,19930
2020.02.13_13.57.41,-8.394564,51.886198,0,B,11,5G,-99,-13,-2,7,-107,18564,65,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-10,18629,18629
2020.02.13_13.57.42,-8.394564,51.886198,0,B,11,5G,-99,-13,-2,7,-107,19919,64,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-10,19983,19983
2020.02.13_13.57.43,-8.394564,51.886198,0,B,11,5G,-98,-14,4,9,-107,19550,75,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-11,19625,19625
2020.02.13_13.57.44,-8.394564,51.886198,0,B,11,5G,-98,-14,4,9,-107,19274,63,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-11,19337,19337
2020.02.13_13.57.45,-8.394564,51.886198,0,B,11,5G,-98,-14,4,9,-107,20202,67,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-11,20269,20269
2020.02.13_13.57.46,-8.394564,51.886198,0,B,11,5G,-99,-10,3,8,-107,20202,67,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-12,20269,20269
2020.02.13_13.57.47,-8.394564,51.886198,0,B,11,5G,-99,-10,3,8,-107,3,3,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-12,6,6
2020.02.13_13.57.47,-8.394564,51.886198,0,B,11,5G,-99,-10,3,8,-107,3,3,D,71,69,73,2,0,B,A4DF,9CBA,10805003,-105,-12,6,6
2020.02.13_13.57.48,-8.394564,51.886198,0,B,11,5G,-98,-11,9,12,-107,8835,147,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-11,8982,8982
2020.02.13_13.57.49,-8.394564,51.886198,0,B,11,5G,-98,-11,9,12,-107,19546,70,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-11,19616,19616
2020.02.13_13.57.50,-8.394564,51.886198,0,B,11,5G,-99,-12,10,12,-107,20629,61,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-11,20690,20690
2020.02.13_13.57.51,-8.394564,51.886198,0,B,11,5G,-99,-12,10,12,-107,20301,67,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-11,20368,20368
2020.02.13_13.57.53,-8.394564,51.886198,0,B,11,5G,-99,-10,6,10,-107,67062,184,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-13,67246,67246
2020.02.13_13.57.54,-8.394564,51.886198,0,B,11,5G,-99,-10,6,10,-107,136669,235,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-13,136904,136904
2020.02.13_13.57.55,-8.394564,51.886198,0,B,11,5G,-100,-11,7,13,-107,201782,192,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-18,201974,201974
2020.02.13_13.57.56,-8.394564,51.886198,0,B,11,5G,-100,-11,7,13,-107,192869,172,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-18,193041,193041
2020.02.13_13.57.57,-8.394564,51.886198,0,B,11,5G,-100,-15,0,9,-107,176996,188,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-14,177184,177184
2020.02.13_13.57.58,-8.394564,51.886198,0,B,11,5G,-100,-15,0,9,-107,199923,369,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-14,200292,200292
2020.02.13_13.57.59,-8.394564,51.886198,0,B,11,5G,-103,-14,6,10,-107,216188,181,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-13,216369,216369
2020.02.13_13.58.01,-8.394564,51.886198,0,B,11,5G,-103,-14,6,10,-107,0,1,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-13,1,1
2020.02.13_13.58.01,-8.394564,51.886198,0,B,11,5G,-103,-14,6,10,-105,0,1,D,71,69,73,2,0,B,A4DF,9CBA,10805003,-105,-13,1,1
2020.02.13_13.58.02,-8.394564,51.886198,0,B,11,5G,-102,-15,1,7,-105,5190,88,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-13,5278,5278
2020.02.13_13.58.03,-8.394564,51.886198,0,B,11,5G,-102,-15,1,7,-107,18086,97,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-13,18183,18183
2020.02.13_13.58.04,-8.394564,51.886198,0,B,11,5G,-98,-10,3,9,-105,18750,56,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-13,18806,18806
2020.02.13_13.58.05,-8.394564,51.886198,0,B,11,5G,-98,-10,3,9,-105,18724,80,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-13,18804,18804
2020.02.13_13.58.06,-8.394564,51.886198,0,B,11,5G,-99,-11,0,14,-105,74510,204,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-12,74714,74714
2020.02.13_13.58.08,-8.394564,51.886198,0,B,11,5G,-99,-11,0,14,-105,93982,216,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-12,94198,94198
2020.02.13_13.58.09,-8.394564,51.886198,0,B,11,5G,-99,-10,8,12,-105,100156,182,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-14,100338,100338
2020.02.13_13.58.10,-8.394564,51.886198,0,B,11,5G,-99,-10,8,12,-105,98998,149,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-14,99147,99147
2020.02.13_13.58.11,-8.394564,51.886198,0,B,11,5G,-100,-11,1,7,-105,103488,167,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-14,103655,103655
2020.02.13_13.58.12,-8.394564,51.886198,0,B,11,5G,-100,-11,1,7,-105,118562,229,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-14,118791,118791
2020.02.13_13.58.14,-8.394564,51.886198,0,B,11,5G,-102,-13,-1,13,-105,114812,188,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-107,-14,115000,115000
2020.02.13_13.58.15,-8.394564,51.886198,0,B,11,5G,-102,-13,-1,13,-105,8167,39,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-107,-14,8206,8206
2020.02.13_13.58.15,-8.394564,51.886198,0,B,11,5G,-102,-13,-1,13,-105,8167,39,D,74,71,78,3,0,B,A4DF,9CBA,10805003,-107,-14,8206,8206
2020.02.13_13.58.16,-8.394564,51.886198,0,B,11,5G,-100,-11,5,9,-105,11121,204,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-11,11325,11325
2020.02.13_13.58.17,-8.394564,51.886198,0,B,11,5G,-100,-11,5,9,-105,19245,72,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-11,19317,19317
2020.02.13_13.58.18,-8.394564,51.886198,0,B,11,5G,-100,-14,4,9,-105,19983,71,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-12,20054,20054
